town,townKey,medianHouseholdIncome,ownerOccupied,renterOccupied,medianHomeValueCensus,race_total,pop_white,pop_black,pop_asian,pop_hispanic,male_under_5,male_5_9,male_10_14,male_15_17,female_under_5,female_5_9,female_10_14,female_15_17,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,emp_agriculture,emp_construction,emp_manufacturing,emp_wholesale,emp_retail,emp_information,emp_finance_real_estate,emp_professional,emp_education_health,emp_arts_food,emp_other_services,emp_public_administration,ageUnder18,age65Plus,age18to64,pop_other,ownerShare,renterShare,employmentTotalSelected,dominantIndustry
Barre,barre,95607,1409,510,329300,5535,5195,74,0,299,51,111,398,61,0,119,71,170,106,51,101,76,61,0,21,24,151,90,109,70,55,332,134,130,10,169,39,103,123,0,0,279,981,860,3694,266,0.7342365815528922,0.2657634184471079,1374,Construction
Becket,becket,75625,896,33,349200,2049,1899,0,12,77,41,32,57,42,26,64,21,19,57,46,65,28,20,5,73,54,81,27,41,4,15,60,72,76,12,103,28,48,15,0,5,28,302,501,1246,138,0.9644779332615716,0.03552206673842842,462,Information
Bedford,bedford,158964,4148,1649,878200,14343,10692,300,2350,593,282,410,405,282,352,628,404,104,86,218,424,145,149,155,241,172,256,128,278,348,0,273,545,77,90,1093,149,256,83,16,10,238,2867,2600,8876,1001,0.7155425219941349,0.2844574780058651,2830,Information
Belchertown,belchertown,99089,5401,1008,350100,15366,13364,399,454,919,386,318,538,314,522,330,121,81,257,196,565,183,107,29,138,496,540,216,104,253,0,342,393,297,88,424,183,299,447,0,59,402,2610,3084,9672,1149,0.8427211733499766,0.1572788266500234,2934,Education and health
Bellingham,bellingham,120966,4937,1352,425900,17160,14527,120,179,938,531,679,829,294,716,317,172,346,223,174,318,122,133,35,209,212,421,197,124,345,27,644,638,165,74,760,206,260,271,87,116,516,3884,2513,10763,2334,0.7850214660518365,0.21497853394816346,3764,Information
Belmont,belmont,178188,6654,3704,1108800,27009,18804,446,5504,1273,659,843,903,895,1049,981,571,289,431,380,601,460,238,139,351,537,719,471,290,319,15,316,1012,87,195,2447,89,614,108,19,54,451,6190,4936,15883,2255,0.6424020081096736,0.3575979918903263,5407,Information
Berkley,berkley,123877,2250,47,472100,6789,6220,279,6,46,153,165,286,66,220,180,283,42,72,75,83,95,63,55,77,49,168,101,67,96,43,320,585,60,8,187,43,58,12,0,143,279,1395,1001,4393,284,0.979538528515455,0.02046147148454506,1738,Manufacturing
Berlin,berlin,122411,1155,292,566800,3311,2989,62,74,96,32,62,98,70,69,38,0,0,57,75,184,61,62,12,57,74,145,124,50,107,8,116,70,42,12,298,21,23,47,13,28,135,369,1008,1934,186,0.7982031789910159,0.2017968210089841,813,Information
Bernardston,bernardston,78427,709,180,305500,2079,1863,3,33,33,33,28,66,24,55,60,30,22,39,50,76,62,15,8,14,66,55,35,9,27,8,93,87,83,10,26,16,12,15,6,13,54,318,456,1305,180,0.7975253093363329,0.20247469066366705,423,Construction
Beverly,beverly,103739,10172,6743,621900,42408,37074,1124,984,2400,1459,1069,1341,433,754,1347,735,851,436,959,896,650,374,520,440,824,957,634,404,792,15,1042,1571,389,221,1910,276,769,398,8,184,1205,7989,7886,26533,3226,0.6013597398758498,0.39864026012415016,7988,Information
Billerica,billerica,139706,12228,3425,570500,41700,32568,1959,3527,2193,782,853,1111,910,1123,960,965,221,657,807,672,614,410,223,611,728,1197,618,384,562,8,1899,2538,722,228,2278,361,681,306,63,58,1076,6925,7483,27292,3646,0.7811921037500799,0.21880789624992014,10218,Manufacturing
Blackstone,blackstone,98986,2927,1042,394600,9211,7795,288,183,480,284,175,372,197,314,199,110,24,175,51,199,146,35,43,43,215,315,298,132,64,0,447,424,179,23,452,100,73,62,0,51,261,1675,1716,5820,945,0.7374653565129755,0.26253464348702443,2072,Information
Blandford,blandford,88587,505,33,275400,1165,1129,0,0,28,28,18,25,14,5,21,10,0,15,40,73,26,13,5,31,23,51,21,17,3,11,51,64,46,0,30,17,27,13,2,0,31,121,318,726,36,0.9386617100371747,0.06133828996282528,292,Manufacturing
Bolton,bolton,198475,1888,102,722300,5698,4817,10,311,302,188,190,206,108,264,223,96,75,81,82,97,41,28,21,101,72,208,41,32,27,0,106,338,10,65,615,45,109,26,0,21,117,1350,831,3517,560,0.9487437185929648,0.05125628140703518,1452,Information
Boston,boston,94755,98813,180403,710400,663972,317080,143024,66500,125767,15756,13470,15146,8207,11802,13790,8072,16921,5226,7623,10085,5812,3484,3777,5921,8714,12780,8143,5247,7262,414,9694,11774,11511,4428,39997,7970,18477,6440,96,1543,15774,103164,84074,476734,137368,0.35389447596126294,0.646105524038737,128118,Information
Bourne,bourne,95349,6710,2208,543100,20093,18425,127,359,443,199,387,460,350,545,297,363,213,429,527,814,509,318,231,387,583,915,559,311,302,39,652,388,214,46,784,292,507,266,43,85,839,2814,5885,11394,1182,0.7524108544516708,0.24758914554832923,4155,Public administration
Boxborough,boxborough,151000,1708,502,671800,5468,3718,465,985,38,79,243,124,110,159,232,78,186,102,43,173,37,41,0,110,26,89,73,58,9,46,40,288,35,124,341,57,168,29,0,0,270,1211,761,3496,300,0.7728506787330317,0.22714932126696832,1398,Information
Boxford,boxford,192605,2705,160,879900,8155,7452,30,84,212,171,142,396,315,261,327,222,110,85,151,349,132,39,52,76,263,180,117,111,85,0,180,321,0,88,471,0,215,45,77,25,218,1944,1640,4571,589,0.944153577661431,0.055846422338568937,1640,Information
Boylston,boylston,124732,1543,389,578700,4896,4493,14,155,193,174,193,109,88,115,94,49,29,19,145,174,36,69,18,154,115,127,82,26,26,0,199,192,57,16,144,37,60,50,0,0,77,851,991,3054,234,0.7986542443064182,0.2013457556935818,832,Construction
Braintree Town,braintree,125305,11058,3281,623200,38762,27209,1155,8220,1198,1049,1207,1105,780,841,1214,918,500,519,465,873,631,290,289,442,552,905,710,558,651,81,1142,658,752,267,1895,511,1038,298,21,189,928,7614,6885,24263,2178,0.7711834855987167,0.2288165144012832,7780,Information
Brewster,brewster,94798,3797,991,621300,10367,9666,43,115,320,85,167,209,186,297,269,214,44,386,325,427,349,195,177,141,380,647,367,251,241,10,675,329,74,119,351,172,138,140,12,53,252,1471,3886,5010,543,0.7930242272347535,0.20697577276524645,2325,Construction
Bridgewater Town,bridgewater,112482,7023,2335,500600,28669,23623,1957,889,1048,645,884,628,554,557,468,436,1067,296,344,983,439,284,107,350,467,814,353,324,260,45,1001,680,270,126,831,334,504,82,25,233,675,5239,5021,18409,2200,0.7504808719811925,0.24951912801880743,4806,Construction
Brimfield,brimfield,101477,1292,187,379700,3694,3213,53,15,0,109,232,69,66,49,142,31,21,69,64,142,71,28,0,80,122,125,71,6,26,0,78,178,134,44,54,19,22,29,0,30,93,719,804,2171,413,0.8735632183908046,0.12643678160919541,681,Manufacturing
Brockton,brockton,77089,20298,15312,405500,105080,30669,40251,2265,13586,3306,3324,4192,2245,3341,4002,2724,1226,1208,1622,1554,1141,538,461,1153,1535,2232,1145,963,1143,101,3328,2567,3027,375,2034,1289,3030,889,34,413,2652,24360,14695,66025,31895,0.5700084245998315,0.42999157540016847,19739,Construction
Brookfield,brookfield,71875,1247,226,313200,3442,3198,17,25,100,50,82,51,75,32,132,49,23,50,62,143,51,46,33,33,137,143,43,95,46,0,172,169,48,0,122,0,41,19,0,19,162,494,882,2066,202,0.846571622539036,0.15342837746096402,752,Construction
Brookline,brookline,140631,12550,14660,1233100,62822,42506,1917,11094,3746,1668,1526,2044,1110,1570,1736,786,582,451,677,946,769,548,475,606,983,1546,990,1023,660,37,277,1345,265,593,4465,174,2783,312,0,116,867,11022,9674,42126,7305,0.46122748989342155,0.5387725101065785,11234,Information
Buckland,buckland,80995,600,257,291200,2001,1732,4,30,148,18,76,98,16,40,34,8,10,0,46,72,72,12,11,18,69,79,25,26,21,24,111,58,43,0,29,3,8,31,5,0,19,300,451,1250,235,0.7001166861143524,0.2998833138856476,331,Construction
