town,townKey,medianHouseholdIncome,ownerOccupied,renterOccupied,medianHomeValueCensus,race_total,pop_white,pop_black,pop_asian,pop_hispanic,male_under_5,male_5_9,male_10_14,male_15_17,female_under_5,female_5_9,female_10_14,female_15_17,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,emp_agriculture,emp_construction,emp_manufacturing,emp_wholesale,emp_retail,emp_information,emp_finance_real_estate,emp_professional,emp_education_health,emp_arts_food,emp_other_services,emp_public_administration,ageUnder18,age65Plus,age18to64,pop_other,ownerShare,renterShare,employmentTotalSelected,dominantIndustry
Fairhaven,fairhaven,92500,5316,1884,407300,15878,15171,53,161,371,261,247,380,257,459,557,137,206,209,253,378,268,194,212,223,346,737,366,195,684,99,780,302,411,129,325,81,230,91,37,54,283,2504,4065,9309,493,0.7383333333333333,0.26166666666666666,2822,Construction
Fall River,fall river,53933,15170,26617,357800,93764,68215,5966,2512,12356,2386,2608,3577,1588,2326,2702,1833,971,903,1531,1471,1048,591,633,1038,1519,2194,1571,1044,1330,60,4446,3127,1647,202,1914,1155,1410,1087,132,369,2495,17991,14873,60900,17071,0.36303156484073995,0.63696843515926,18044,Construction
Falmouth,falmouth,92862,12076,2520,580000,32841,28271,397,888,1095,539,646,638,514,535,550,449,404,615,1010,1331,761,563,755,757,929,1501,1057,715,954,0,1220,460,548,72,2017,509,605,292,49,68,684,4275,10948,17618,3285,0.8273499588928473,0.17265004110715265,6524,Information
Fitchburg,fitchburg,70659,9518,7362,295500,41633,26776,2929,859,12707,866,1244,1038,749,1119,1036,668,997,585,500,542,311,214,215,463,569,813,675,367,521,174,1235,1817,824,45,1778,1175,740,395,128,134,1231,7717,5775,28141,11069,0.5638625592417061,0.43613744075829386,9676,Manufacturing
Florida,florida,90078,282,33,220600,774,754,0,4,28,5,18,25,18,15,30,19,7,10,43,28,7,16,6,11,32,4,7,11,15,10,41,39,15,0,12,4,0,2,0,2,10,137,190,447,16,0.8952380952380953,0.10476190476190476,135,Construction
Foxborough,foxborough,108559,5232,1937,581900,18516,14425,1273,1238,691,376,434,583,389,433,759,406,376,316,255,304,359,132,113,360,340,514,186,156,152,8,535,423,169,107,870,187,633,298,0,178,350,3756,3187,11573,1580,0.7298088994280931,0.2701911005719068,3758,Information
Framingham,framingham,98179,15039,12412,600600,72013,39684,4642,5193,13489,2078,2695,2270,1286,1971,1953,1116,924,790,1006,1624,548,527,523,683,1119,1428,1203,729,1188,62,3087,1977,1102,408,4082,1048,1494,853,30,259,1819,14293,11368,46352,22494,0.5478488943936468,0.45215110560635313,16221,Information
Franklin Town,franklin,142788,9668,2671,567100,33067,28185,661,2033,1651,648,715,1015,784,801,1121,865,740,359,391,602,298,164,169,423,414,764,427,299,319,73,894,1168,545,326,1352,163,336,327,43,240,740,6689,4629,21749,2188,0.7835318907528973,0.2164681092471027,6207,Information
Freetown,freetown,144722,2834,348,491600,9222,8856,68,137,201,238,169,285,190,318,338,231,109,102,161,232,178,39,30,230,241,165,114,92,32,11,423,370,137,7,283,96,108,54,0,11,200,1878,1616,5728,161,0.890634820867379,0.10936517913262099,1700,Construction
Gardner,gardner,62948,5055,3853,271300,21075,17140,999,580,1978,653,523,434,425,300,681,451,212,359,429,480,342,135,212,250,315,556,315,223,441,0,702,883,475,31,407,110,289,183,18,38,490,3679,4057,13339,2356,0.5674674449932645,0.43253255500673554,3626,Manufacturing
Georgetown,georgetown,152014,2682,506,610800,8454,7733,81,98,241,258,297,303,214,282,229,215,30,105,86,267,110,94,52,75,185,257,131,84,133,0,343,370,137,8,437,36,218,107,68,35,215,1828,1579,5047,542,0.8412797992471769,0.1587202007528231,1974,Information
Gill,gill,90000,510,148,323900,1831,1652,77,27,14,55,18,88,30,23,43,20,0,49,72,44,30,10,6,16,43,55,25,16,17,45,45,83,37,21,71,43,12,15,8,24,31,277,383,1171,75,0.7750759878419453,0.22492401215805471,435,Manufacturing
Gloucester,gloucester,87898,8347,4833,587800,29862,27036,351,483,1424,853,760,682,343,389,430,394,359,529,817,884,494,353,254,563,1016,982,821,488,400,237,1280,1103,525,158,1138,243,373,361,42,45,740,4210,7601,18051,1992,0.6333080424886192,0.3666919575113809,6245,Construction
Goshen,goshen,93125,391,57,318100,965,913,0,13,36,7,23,6,7,8,14,5,19,4,37,64,22,3,12,50,19,34,30,13,8,13,50,45,18,3,22,4,33,3,0,12,58,89,296,580,39,0.8727678571428571,0.12723214285714285,261,Public administration
Gosnold,gosnold,-666666666,12,15,700000,51,51,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,0,0,3,3,1,0,0,0,5,0,9,0,0,0,0,13,0,0,3,0,19,32,0,0.4444444444444444,0.5555555555555556,30,Education and health
Grafton,grafton,124548,5614,2086,481500,19771,15077,342,2177,906,692,442,785,295,439,614,452,114,256,238,245,228,189,184,279,238,411,204,320,121,101,612,1006,335,169,975,254,253,284,19,75,606,3833,2913,13025,2175,0.7290909090909091,0.27090909090909093,4689,Manufacturing
Granby,granby,110188,2401,138,319600,6088,5681,119,23,218,73,284,104,41,86,100,101,13,96,162,163,134,56,16,38,177,171,162,55,107,17,136,255,326,0,145,16,96,46,0,16,315,802,1337,3949,265,0.9456478928712091,0.054352107128790864,1368,Wholesale trade
Granville,granville,89643,640,44,328700,1680,1508,20,7,56,38,45,71,10,40,14,42,6,38,43,43,16,15,13,47,29,51,13,14,29,12,71,73,28,0,42,22,19,21,0,0,28,266,351,1063,145,0.935672514619883,0.06432748538011696,316,Manufacturing
Great Barrington,great barrington,82484,2099,844,474800,7184,6002,145,261,518,155,104,201,186,137,167,151,137,158,61,184,104,87,43,179,140,266,165,135,143,0,249,116,118,66,248,46,123,86,0,11,240,1238,1665,4281,776,0.7132178049609242,0.28678219503907576,1303,Construction
Greenfield,greenfield,53961,4478,3728,252000,17662,15657,441,339,1063,486,473,668,309,519,390,146,105,172,360,631,284,157,173,319,427,698,372,263,345,39,418,460,136,73,453,168,331,122,39,44,373,3096,4201,10365,1225,0.5456982695588594,0.45430173044114064,2656,Manufacturing
Groton,groton,189180,3278,390,673500,11265,9566,114,676,440,203,293,919,283,486,307,354,92,93,221,247,163,94,56,191,45,293,238,66,96,6,211,509,98,82,829,112,170,110,24,37,178,2937,1803,6525,909,0.8936750272628136,0.10632497273718648,2366,Information
Groveland,groveland,135521,2450,222,571900,6747,6545,11,22,124,288,270,168,110,253,180,54,0,83,77,166,161,84,15,96,236,199,127,79,69,0,379,407,57,30,168,70,150,41,15,0,159,1323,1392,4032,169,0.9169161676646707,0.08308383233532934,1476,Manufacturing
Hadley,hadley,117580,1703,590,453300,5299,4727,0,122,345,108,201,160,90,48,131,154,0,60,111,181,67,58,30,159,252,130,72,11,156,41,120,287,96,31,167,65,0,0,34,90,65,892,1287,3120,450,0.7426951591801134,0.25730484081988664,996,Manufacturing
Halifax,halifax,106851,2848,117,442800,7734,6984,0,10,144,177,312,255,129,167,525,85,56,62,113,225,30,35,47,111,265,90,186,87,96,0,266,208,39,14,413,263,92,53,0,27,138,1706,1347,4681,740,0.9605396290050591,0.03946037099494098,1513,Information
Hamilton,hamilton,126331,2239,460,687600,7571,6896,228,250,134,186,218,381,113,315,242,90,94,88,123,193,102,101,87,106,263,213,77,96,90,11,163,193,61,51,457,102,122,78,9,13,106,1639,1539,4393,197,0.8295665061133753,0.17043349388662468,1366,Information
Hampden,hampden,110703,1902,63,345200,4937,4613,0,31,210,86,74,152,52,66,77,64,102,80,147,170,107,88,29,192,165,156,120,62,39,0,212,227,56,0,83,53,50,38,0,17,124,673,1355,2909,293,0.9679389312977099,0.03206106870229008,860,Manufacturing
Hancock,hancock,93125,246,70,348300,798,710,5,17,31,32,4,14,8,27,7,15,24,30,21,18,8,4,4,17,41,17,12,14,10,9,26,5,0,0,20,11,29,9,6,0,10,131,196,471,66,0.7784810126582279,0.22151898734177214,125,Professional services
Hanover,hanover,174821,4243,661,706200,14800,13292,102,349,138,372,465,963,565,475,292,380,204,63,180,273,175,143,88,114,288,334,256,208,183,0,617,184,332,70,652,34,123,104,0,39,382,3716,2305,8779,1057,0.8652120717781403,0.1347879282218597,2537,Information
Hanson,hanson,111897,3632,396,496200,10615,9461,40,357,193,265,454,325,224,359,172,271,78,60,262,398,129,76,53,177,164,322,198,169,99,0,452,277,197,54,194,40,89,147,0,37,358,2148,2107,6360,757,0.9016881827209533,0.09831181727904667,1845,Construction
Hardwick,hardwick,81250,771,347,282000,2671,2513,5,8,164,44,127,114,102,84,31,63,19,30,74,43,85,32,3,53,92,63,21,5,25,5,75,90,28,12,36,5,12,41,0,0,100,584,526,1561,145,0.6896243291592129,0.3103756708407871,404,Public administration
Harvard,harvard,200688,1802,227,798300,6881,5573,420,356,638,282,117,94,224,264,205,79,86,112,135,117,132,36,51,29,71,110,122,30,33,22,79,234,8,27,372,35,23,29,0,10,90,1351,978,4552,532,0.8881222276983736,0.11187777230162642,929,Information
Harwich,harwich,87948,5197,970,588100,13506,12737,27,12,215,252,305,298,276,193,112,159,0,269,374,646,312,134,231,394,455,770,541,279,490,0,685,106,270,22,629,178,68,79,52,74,289,1595,4895,7016,730,0.8427112047997406,0.15728879520025946,2452,Construction
Hatfield,hatfield,100381,1090,368,440000,3324,3002,9,47,171,109,81,96,75,49,42,22,103,8,74,92,35,87,0,107,81,119,63,49,54,68,43,35,40,17,173,27,111,15,10,0,240,577,769,1978,266,0.747599451303155,0.252400548696845,779,Public administration
Haverhill,haverhill,87675,16127,10173,426900,67387,47081,2063,898,17759,1533,2209,2554,1341,1431,1958,1228,867,772,1128,1051,707,510,467,698,1164,1404,981,615,875,147,1929,2852,1451,509,2221,868,1493,877,0,293,2003,13121,10372,43894,17345,0.6131939163498099,0.3868060836501901,14643,Manufacturing
Hawley,hawley,99375,126,9,290000,360,324,0,3,8,3,0,2,3,23,1,0,2,1,5,5,10,19,12,4,13,25,14,7,1,15,7,9,5,0,3,1,4,5,4,4,1,34,116,210,33,0.9333333333333333,0.06666666666666667,58,Agriculture and natural resources
Heath,heath,93750,336,43,284500,782,722,0,14,40,7,5,16,13,14,31,9,2,25,30,104,12,8,9,14,32,27,6,2,13,0,29,51,10,6,44,23,5,13,6,21,28,97,282,403,46,0.8865435356200527,0.11345646437994723,236,Manufacturing
Hingham,hingham,181017,7672,1886,1075100,24185,22674,192,561,472,697,1118,826,525,636,864,457,224,217,578,546,435,247,341,235,602,717,619,473,1003,0,388,481,311,91,1352,144,351,190,7,8,288,5347,6013,12825,758,0.8026783845992885,0.19732161540071144,3611,Information
Hinsdale,hinsdale,76129,626,166,272900,1825,1730,4,0,71,23,15,25,34,56,38,27,7,45,21,52,19,31,47,13,14,45,37,46,7,7,69,67,9,56,65,33,31,16,6,0,26,225,377,1223,91,0.7904040404040404,0.20959595959595959,385,Construction
Holbrook,holbrook,107768,3566,712,436500,11320,7653,1361,490,1042,353,343,331,172,144,538,220,63,210,192,252,198,111,49,204,101,423,162,72,69,0,557,222,194,30,649,240,513,131,0,95,296,2164,2043,7113,1816,0.83356708742403,0.16643291257597007,2927,Information
Holden,holden,142880,6055,1069,433300,19885,17193,566,519,1081,747,674,842,381,724,712,435,136,204,339,382,252,209,192,286,289,440,428,176,264,13,460,742,317,137,668,159,490,249,0,44,290,4651,3461,11773,1607,0.8499438517686693,0.1500561482313307,3569,Manufacturing
Holland,holland,86806,1117,47,288700,2576,2315,0,147,84,81,52,62,42,82,42,22,7,88,71,71,36,26,10,69,77,85,64,19,8,13,88,94,41,0,74,43,38,53,0,20,69,390,624,1562,114,0.9596219931271478,0.040378006872852236,533,Manufacturing
Holliston,holliston,154684,4907,747,620500,14964,12637,106,981,705,279,622,574,341,436,416,330,238,190,336,331,302,117,23,163,381,339,277,259,167,8,614,515,167,99,1071,146,279,197,7,59,466,3236,2885,8843,1240,0.8678811460912628,0.13211885390873718,3628,Information
Holyoke,holyoke,51892,6451,9073,255300,37949,22873,1609,314,19563,1293,780,1636,722,1182,927,508,351,410,686,603,670,246,562,494,753,835,680,428,690,37,562,860,518,113,725,381,764,341,0,158,746,7399,7057,23493,13153,0.41555011594949753,0.5844498840505025,5205,Manufacturing
Hopedale,hopedale,115216,1667,504,456000,6024,5529,111,138,299,92,82,251,82,92,377,389,60,55,89,150,190,0,36,67,65,212,115,107,72,0,102,242,154,17,167,43,124,151,0,0,93,1425,1158,3441,246,0.7678489175495163,0.23215108245048366,1093,Manufacturing
Hopkinton,hopkinton,204418,5660,973,726100,19050,13897,138,3322,611,608,1070,735,395,652,890,608,283,340,163,307,235,45,50,385,196,220,245,94,123,11,255,962,147,236,1228,165,386,101,17,99,377,5241,2403,11406,1693,0.8533092115181667,0.14669078848183326,3984,Information
Hubbardston,hubbardston,102344,1484,146,342100,4339,3887,175,110,128,180,65,38,92,214,68,79,126,55,121,128,47,100,15,42,34,126,61,56,7,0,273,169,24,8,145,26,51,80,10,0,10,862,792,2685,167,0.9104294478527607,0.08957055214723926,796,Construction
Hudson,hudson,107202,5992,2049,480300,19959,15988,192,1154,1197,580,580,478,609,521,567,297,252,209,149,456,347,227,89,207,230,696,585,231,261,0,569,911,322,111,1026,315,370,70,0,127,319,3884,3687,12388,2625,0.745180947643328,0.25481905235667207,4140,Information
Hull,hull,127112,3711,864,606100,10098,9539,9,117,76,176,158,138,230,98,158,143,68,87,299,306,206,132,50,227,413,311,238,186,63,11,432,153,191,54,517,173,130,67,18,38,354,1169,2518,6411,433,0.8111475409836065,0.18885245901639344,2138,Information
Huntington,huntington,94871,751,118,283900,2205,2108,34,0,29,30,55,69,31,41,81,26,15,56,16,20,29,39,39,41,27,52,27,32,8,29,127,83,11,0,66,29,35,44,14,0,84,348,386,1471,63,0.8642117376294591,0.13578826237054084,522,Construction
Ipswich,ipswich,124405,4178,1579,701400,13820,12770,103,280,423,214,178,386,272,424,487,274,96,165,369,349,245,148,150,212,302,440,292,240,207,62,447,532,135,208,769,130,158,108,48,52,319,2331,3119,8370,667,0.7257252040993573,0.2742747959006427,2968,Information
Kingston,kingston,115863,4643,904,562000,13782,13350,97,49,251,475,356,492,240,564,263,402,22,235,261,332,286,280,194,83,481,240,327,145,174,10,776,86,202,92,516,55,370,71,0,59,445,2814,3038,7930,286,0.837029024698035,0.16297097530196503,2682,Construction
Lakeville,lakeville,126182,3415,776,533800,11732,10994,138,186,149,231,245,389,200,380,467,142,275,178,174,277,133,68,68,153,233,208,141,95,142,0,444,529,230,29,394,131,193,113,4,74,528,2329,1870,7533,414,0.8148413266523503,0.18515867334764974,2669,Manufacturing
Lancaster,lancaster,130444,2442,502,467400,8470,7285,413,21,830,202,255,169,189,165,235,177,34,92,57,160,142,86,99,141,215,275,169,129,91,17,211,275,53,38,303,31,160,50,19,73,133,1426,1656,5388,751,0.829483695652174,0.17051630434782608,1363,Information
Lanesborough,lanesborough,84419,1272,60,285500,3033,2917,29,73,0,13,68,55,82,127,131,72,0,20,101,67,69,73,42,72,38,101,58,31,18,0,63,140,160,6,33,8,56,11,0,16,114,548,690,1795,14,0.954954954954955,0.04504504504504504,607,Wholesale trade
Lawrence,lawrence,57903,9407,21602,393500,88297,19903,4075,1694,72628,3216,3976,3740,1723,2602,2973,1842,1221,620,660,1033,592,376,324,979,855,1165,763,655,831,0,2066,4057,2366,186,2739,2013,1356,818,12,218,2115,21293,8853,58151,62625,0.3033635396175304,0.6966364603824696,17946,Manufacturing
Lee,lee,74222,2092,576,328900,5751,5249,0,109,170,45,145,192,96,38,139,155,54,29,184,170,134,163,101,35,139,153,390,283,233,0,210,162,67,63,114,22,220,42,33,19,79,864,2014,2873,393,0.7841079460269865,0.2158920539730135,1031,Professional services
Leicester,leicester,95776,3611,487,377800,11076,9651,562,23,537,246,242,480,215,422,265,71,283,147,184,236,145,143,66,263,225,211,146,125,47,48,448,261,351,59,449,285,185,82,0,32,351,2224,1938,6914,840,0.881161542215715,0.11883845778428502,2551,Information
Lenox,lenox,97569,1623,654,469600,5076,4669,51,13,302,12,138,60,184,66,75,63,168,95,271,192,86,54,133,73,308,91,170,58,262,0,19,167,0,15,132,0,106,296,0,0,75,766,1793,2517,343,0.7127799736495388,0.2872200263504611,810,Education and health
Leominster,leominster,81556,11446,6764,345000,43697,32013,2373,1329,7490,1522,1237,1352,533,1288,1525,589,391,556,826,827,739,376,363,422,1209,820,585,432,820,58,1180,2272,760,171,1539,607,823,247,34,117,994,8437,7975,27285,7982,0.628555738605162,0.371444261394838,8802,Manufacturing
Leverett,leverett,113750,628,86,444700,1704,1527,14,66,64,19,20,49,24,81,23,18,13,14,41,92,39,43,17,25,47,135,65,26,19,16,74,18,11,22,57,9,65,19,12,22,13,247,563,894,97,0.8795518207282913,0.12044817927170869,338,Construction
Lexington,lexington,219402,9998,2339,1147900,34085,19369,712,11225,1133,750,1026,1521,997,1220,1817,1174,266,459,587,811,499,441,532,376,554,1125,591,626,560,7,126,1511,156,196,2977,115,944,186,10,14,412,8771,7161,18153,2779,0.8104077166247873,0.18959228337521278,6654,Information
Leyden,leyden,105357,254,20,344800,650,619,0,0,15,14,14,8,9,10,8,0,2,7,11,28,17,13,7,18,12,23,22,5,4,4,35,33,20,5,29,8,7,20,4,9,14,65,167,418,31,0.927007299270073,0.072992700729927,188,Construction
Lincoln,lincoln,180750,1668,1002,1180100,6946,5389,89,523,916,237,419,261,109,215,231,146,83,31,72,118,129,130,188,77,66,93,190,129,204,0,33,105,77,2,342,26,222,9,9,15,145,1701,1427,3818,945,0.6247191011235955,0.3752808988764045,985,Information
Littleton,littleton,146250,3074,563,633000,10150,8530,61,950,254,332,342,289,147,255,313,254,70,103,84,309,80,99,62,97,116,362,159,178,132,0,277,501,101,99,639,63,61,64,24,45,190,2002,1781,6367,609,0.845202089634314,0.154797910365686,2064,Information
Longmeadow,longmeadow,144639,5250,461,425800,15724,13560,268,977,450,425,323,695,481,563,642,287,189,245,280,274,297,143,246,164,328,581,324,251,387,0,187,412,177,65,668,91,656,4,0,0,90,3605,3520,8599,919,0.9192785851864822,0.08072141481351777,2350,Information
Lowell,lowell,76205,18650,23733,395100,114799,58399,12366,24273,22188,3217,2977,3844,1677,3553,4029,1689,1799,1247,1257,1611,1197,640,474,1321,1506,1818,1288,984,845,74,3435,5543,1964,433,4390,1426,2796,1227,32,204,2279,22785,14188,77826,19761,0.4400349196611849,0.5599650803388151,23803,Manufacturing
Ludlow,ludlow,78981,6326,2176,303900,20846,18405,384,172,2050,307,589,521,384,517,350,390,281,342,473,468,304,265,273,294,551,607,442,315,339,12,524,890,678,34,530,178,321,180,6,108,631,3339,4673,12834,1885,0.7440602211244413,0.2559397788755587,4092,Manufacturing
Lunenburg,lunenburg,109753,3682,847,442800,11804,10273,252,399,796,340,452,360,219,378,391,371,44,159,100,295,219,157,25,208,168,234,193,127,94,13,433,499,252,41,473,115,101,104,13,67,365,2555,1979,7270,880,0.8129829984544049,0.18701700154559506,2476,Manufacturing
Lynn,lynn,74715,18307,18021,472600,100905,44976,12212,6059,42858,3625,2914,3332,2497,3537,3211,2360,1360,908,1571,1772,1011,484,438,980,1731,1913,1215,715,1245,40,3401,3434,2959,321,4081,2052,2293,1158,0,96,2978,22836,13983,64086,37658,0.5039363576304778,0.4960636423695221,22813,Information
Lynnfield,lynnfield,172484,3995,626,904200,12964,10541,185,1058,543,641,624,471,240,718,336,281,36,234,164,185,184,194,93,123,355,270,273,112,206,0,503,139,253,11,587,78,184,105,0,15,383,3347,2393,7224,1180,0.8645314866911924,0.13546851330880763,2258,Information
Malden,malden,95298,11070,15249,607500,65509,29104,9017,18745,5323,2284,1639,1593,983,1153,1629,954,335,736,923,837,540,360,321,615,823,992,1034,537,949,0,2123,2046,1334,602,4008,737,1274,648,45,100,1666,10570,8667,46272,8643,0.42060868574033966,0.5793913142596603,14583,Information
Manchester-by-the-Sea,manchester,197875,1549,663,932000,5368,4687,0,63,176,105,125,272,38,62,296,272,0,117,205,57,158,110,25,50,142,240,97,41,126,0,59,79,12,0,357,0,58,40,17,26,144,1170,1368,2830,618,0.7002712477396021,0.29972875226039786,792,Information
Mansfield,mansfield,131409,6527,2453,571000,23855,20459,642,1353,886,623,563,772,615,772,835,400,212,206,358,583,155,102,60,262,448,556,259,181,284,35,890,745,446,190,1160,303,607,332,98,66,565,4792,3454,15609,1401,0.726837416481069,0.27316258351893097,5437,Information
Marblehead,marblehead,165859,6776,1411,906200,20334,19310,138,228,524,237,396,749,748,458,937,582,232,394,371,486,384,265,191,358,355,730,541,203,318,21,624,300,331,144,1344,239,522,112,0,147,382,4339,4596,11399,658,0.8276535971662392,0.17234640283376085,4166,Information
Marion,marion,120227,1664,306,585500,5312,4435,221,77,166,86,264,122,145,78,120,91,79,134,34,156,100,13,69,45,65,261,215,53,81,18,287,106,98,55,206,0,63,0,12,12,67,985,1226,3101,579,0.8446700507614213,0.15532994923857868,924,Construction
Marlborough,marlborough,95047,9352,7297,485400,41398,25198,1512,2027,6975,1344,1247,969,452,1180,1161,524,542,457,586,801,372,319,329,485,658,759,505,351,483,152,1902,2334,534,453,2146,794,531,461,43,198,1070,7419,6105,27874,12661,0.5617154183434441,0.4382845816565559,10618,Manufacturing
Marshfield,marshfield,125525,8258,1937,621300,25795,24763,157,111,560,546,809,622,537,721,664,534,191,250,474,724,341,251,249,411,448,719,671,241,370,113,775,348,570,324,1253,356,424,289,50,0,610,4624,5149,16022,764,0.8100049043648847,0.18999509563511524,5112,Information
Mashpee,mashpee,95852,5703,1150,515800,15234,13596,372,141,335,305,276,289,338,359,207,172,76,304,392,505,502,246,165,313,584,641,548,325,343,26,499,204,328,69,741,366,305,68,51,17,408,2022,4868,8344,1125,0.8321902816284839,0.16780971837151612,3082,Information
Mattapoisett,mattapoisett,117308,2346,628,671900,6563,6205,0,32,154,124,139,252,130,184,123,95,97,138,93,263,146,79,254,55,132,290,251,85,115,65,117,241,75,0,270,86,193,96,3,10,79,1144,1901,3518,326,0.788836583725622,0.21116341627437793,1235,Information
Maynard,maynard,119549,3599,1074,494200,10663,9015,147,626,375,151,353,492,208,396,126,87,258,132,194,146,165,148,34,42,149,192,217,138,98,15,149,584,141,102,685,91,169,88,46,50,387,2071,1655,6937,875,0.7701690562807618,0.22983094371923818,2507,Information
Medfield,medfield,214801,3937,622,869400,12923,11312,222,572,472,524,650,522,235,451,438,468,155,99,195,208,203,78,48,192,153,326,154,93,84,0,252,383,49,112,772,131,104,13,12,42,364,3443,1833,7647,817,0.8635665716165826,0.1364334283834174,2234,Information
Medford,medford,118089,13038,11534,715500,59062,41009,3870,7080,5243,1154,1138,1099,768,869,1066,599,1386,528,823,1040,510,280,514,717,895,1439,766,755,1041,25,1390,1690,778,590,4383,776,1144,764,13,254,1465,8079,9308,41675,7103,0.5306039394432688,0.4693960605567312,13272,Information
Medway,medway,174357,3997,576,588900,13251,11137,167,719,598,389,377,310,328,418,410,366,138,127,256,219,178,52,40,204,264,243,119,94,135,22,356,487,120,93,558,186,238,208,0,103,401,2736,1931,8584,1228,0.8740432976164444,0.12595670238355566,2772,Information
Melrose,melrose,126854,8388,3980,796100,29488,23181,649,2848,1770,582,727,812,455,1010,773,561,119,309,383,433,493,456,284,298,652,671,1097,420,613,0,627,755,366,411,1868,141,606,288,57,62,368,5039,6109,18340,2810,0.6782018111254852,0.3217981888745149,5549,Information
Mendon,mendon,129837,1916,187,605500,6266,5874,25,26,255,92,66,221,199,159,238,252,48,94,157,75,101,141,15,28,56,75,95,43,52,0,357,256,175,37,197,72,43,30,0,6,240,1275,932,4059,341,0.9110794103661436,0.08892058963385639,1413,Construction
Merrimac,merrimac,116477,2140,570,531300,6707,6368,0,0,42,343,350,125,68,124,59,61,77,111,150,222,183,88,43,63,133,244,198,90,66,13,414,358,175,0,91,57,157,144,0,68,237,1207,1591,3909,339,0.7896678966789668,0.21033210332103322,1714,Construction
Methuen Town,methuen,103270,13678,5138,472200,53043,31503,2916,1968,17388,1094,1743,1391,1048,1546,2119,973,622,650,773,1074,751,342,335,737,845,1389,967,401,743,10,1756,2294,1075,270,2233,767,924,389,56,364,1187,10536,9007,33500,16656,0.7269345238095238,0.27306547619047616,11325,Manufacturing
Middleborough,middleborough,91914,7546,2250,426800,24360,22207,252,363,1080,498,740,622,612,581,509,445,177,306,378,623,538,182,153,385,350,895,577,352,364,30,1426,562,547,150,693,202,221,303,0,58,717,4184,5103,15073,1538,0.7703144140465497,0.2296855859534504,4909,Construction
Middlefield,middlefield,89063,161,11,293500,373,324,0,0,26,0,1,4,2,0,0,13,0,16,26,7,5,2,2,12,22,7,7,2,0,0,32,41,0,0,33,5,0,4,0,3,1,20,108,245,49,0.936046511627907,0.06395348837209303,119,Manufacturing
Middleton,middleton,171458,3065,251,713000,9727,8227,221,518,649,201,327,280,134,179,232,141,0,102,138,139,240,54,56,102,198,293,160,110,205,10,368,374,321,19,478,117,180,189,0,77,285,1494,1797,6436,761,0.9243063932448733,0.07569360675512665,2418,Information
Milford,milford,92726,7725,3609,442500,30304,20862,984,709,4613,1066,1188,923,483,834,642,447,268,254,348,811,501,287,137,344,471,974,557,355,417,32,2865,846,321,151,1270,393,524,278,0,278,953,5851,5456,18997,7749,0.681577554261514,0.318422445738486,7911,Construction
Millbury,millbury,116000,3910,1382,415600,13899,11493,122,713,718,349,555,217,194,351,443,395,74,117,275,307,204,115,182,190,342,314,340,160,154,0,661,368,400,99,539,77,214,137,0,52,404,2578,2700,8621,1571,0.7388510959939532,0.26114890400604684,2951,Construction
Millis,millis,149021,2829,554,570300,8699,7564,116,346,176,262,183,212,165,179,233,226,76,31,345,227,195,57,64,249,247,269,249,33,64,0,285,219,156,125,421,213,78,27,0,0,149,1536,2030,5133,673,0.83624002364765,0.16375997635234998,1673,Information
Millville,millville,115789,1082,140,418000,3156,2870,38,24,39,61,75,127,85,58,71,61,25,46,17,43,17,84,23,35,47,45,22,107,33,5,163,195,78,21,102,63,35,10,5,34,72,563,519,2074,224,0.8854337152209493,0.11456628477905073,783,Manufacturing
Milton,milton,178053,7738,1401,896500,28481,20418,4121,1782,983,566,1138,1168,714,1111,1098,827,712,486,335,384,230,309,157,210,519,713,452,381,358,0,483,689,336,184,1271,194,715,266,0,60,401,7334,4534,16613,2160,0.8467009519641099,0.15329904803589015,4599,Information
Monroe,monroe,64375,43,12,147900,115,103,0,0,11,4,0,0,0,5,0,5,0,3,1,0,9,1,0,1,1,7,8,1,4,0,0,10,9,0,0,0,0,0,0,0,0,14,36,65,12,0.7818181818181819,0.21818181818181817,19,Manufacturing
Monson,monson,84067,2830,559,315500,8126,7574,53,133,413,183,159,216,159,127,258,125,81,81,139,320,202,60,89,96,113,418,133,165,82,0,264,437,81,9,100,28,59,153,3,6,312,1308,1898,4920,366,0.8350545883741517,0.16494541162584833,1452,Manufacturing
Montague,montague,72344,2263,1449,262100,8501,7645,39,101,408,294,234,207,101,218,140,211,30,176,167,254,138,72,103,82,120,246,207,82,127,86,245,391,132,96,156,103,69,110,7,42,237,1435,1774,5292,716,0.6096443965517241,0.39035560344827586,1674,Manufacturing
Monterey,monterey,131111,383,15,555200,1030,948,9,3,70,11,8,16,33,10,24,41,4,17,28,24,40,24,75,7,23,2,40,14,108,2,86,3,8,0,10,10,93,0,1,0,0,147,402,481,70,0.9623115577889447,0.03768844221105527,213,Professional services
Montgomery,montgomery,125000,350,10,338600,873,817,0,10,0,16,26,5,26,22,19,47,8,24,19,15,20,17,5,17,27,23,18,9,4,0,49,62,24,0,52,26,9,7,2,3,30,169,198,506,46,0.9722222222222222,0.027777777777777776,264,Manufacturing
