cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,medianHomeValueCensus,medianBedrooms,medianBathrooms,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
ayer,2,379950.0,379950.0,294.732800982801,2375.5,105047.0,417800.0,2.5,2.0,8.26949343947986,3.0999999999999996,27.5,3.6169524117775853,3.6850838419981757,Ayer
baldwinville,1,424900.0,424900.0,368.83680555555554,2727.0,,,3.0,2.0,8.47173452577077,2.4,16.0,,,Baldwinville
barnstable,107,819000.0,1343808.38317757,447.0486111111111,4851.0,97348.0,559200.0,3.0,3.0,7.8184615384615395,3.6,24.25,8.413115831860953,1.672301243729815,Barnstable Town
barre,4,322450.0,364975.0,139.7909669211196,2426.5,95607.0,329300.0,3.0,2.5,8.769552631578948,2.6,9.25,3.372660997625697,3.28343292808572,Barre
becket,32,572450.0,536600.0,299.49464591820833,3705.5,75625.0,349200.0,3.0,2.0,8.545098226577052,2.2,6.25,7.569586776859504,1.7007376422435119,Becket
bedford,6,1132450.0,1166433.3333333333,448.38336989798046,7552.5,158964.0,878200.0,3.5,3.0,8.214484570516746,3.0,23.0,7.123940011574947,1.753988745448527,Bedford
belchertown,1,360000.0,360000.0,327.27272727272725,2369.0,99089.0,350100.0,2.0,1.0,8.686333333333335,3.0,,3.6330975183925562,3.4856127761362035,Belchertown
bellingham,11,519900.0,646454.4545454546,337.8962536023055,3281.0,120966.0,425900.0,3.0,2.0,8.249009801960392,3.2,30.0,4.297901889787213,3.072386467540384,Bellingham
belmont,13,1780000.0,1775384.6153846155,667.6462730430136,11073.0,178188.0,1108800.0,4.0,4.0,8.364753901560624,3.2,55.333333333333336,9.989449345634947,1.341009663144586,Belmont
berkley,3,625000.0,591666.6666666666,284.09090909090907,3899.0,123877.0,472100.0,4.0,2.0,8.238189473684212,3.4,12.0,5.0453272197421635,2.647623322219373,Berkley
berlin,6,646950.0,806466.6666666666,337.2445014808475,4519.0,122411.0,566800.0,2.5,2.5,8.465862330623306,3.0,13.5,5.285064250761778,2.257339381869145,Berlin
bernardston,5,499900.0,791740.0,294.49360865290066,3266.0,78427.0,305500.0,3.0,2.0,8.622971619365611,2.2,17.5,6.37408035497979,2.0010971626862624,Bernardston
beverly,23,650000.0,1214595.608695652,456.25,4046.0,103739.0,621900.0,3.0,2.0,8.215322033898305,3.4,48.5,6.265724558748397,2.1366576042181578,Beverly
billerica,18,744450.0,694322.2222222222,354.5972813313854,4639.0,139706.0,570500.0,3.0,2.0,8.2256770841066,3.1,26.0,5.3286902495240005,2.509628511891931,Billerica
blackstone,11,459900.0,467318.1818181818,273.65819209039546,2952.0,98986.0,394600.0,3.0,2.0,8.467452631578947,3.5,37.5,4.64611157133332,2.7943202348690157,Blackstone
blandford,4,202450.0,291975.0,115.66988920734055,2330.5,88587.0,275400.0,3.0,2.0,10.964571890973339,2.25,7.25,2.2853240317428063,3.1676678824286633,Blandford
bolton,7,825000.0,838557.1428571428,321.924108853967,5132.0,198475.0,722300.0,4.0,4.0,8.466953846153846,3.2,10.0,4.15669479783348,3.222833852948818,Bolton
bondsville,1,319900.0,319900.0,169.4385593220339,2109.0,,,4.0,2.0,8.70234448265083,3.4,22.0,,,Bondsville
boston,814,889500.0,1444715.9754299754,748.0776165888042,5646.0,94755.0,710400.0,2.0,2.0,8.347363909129877,3.4,81.0,9.387367421244262,1.3985565001771165,Boston
bourne,99,759000.0,1300983.3333333333,381.9742489270386,4793.0,95349.0,543100.0,3.0,3.0,8.334668335419273,4.0,18.5,7.960230311801907,1.6577821823492593,Bourne
boxboro,4,1120000.0,1102250.0,345.31772575250835,6956.0,,,3.5,3.0,8.201027793262725,3.2,11.5,,,Boxboro
boxborough,2,459500.0,459500.0,303.8016843199923,3725.0,151000.0,671800.0,2.0,2.0,10.731900699101157,3.0,28.75,3.043046357615894,3.3780760626398214,Boxborough
boxford,11,1249000.0,1393363.6363636365,326.57068062827227,7622.0,192605.0,879900.0,4.0,4.0,8.200707305723592,3.4,9.0,6.484774538563381,2.1058011895390534,Boxford
boylston,5,619900.0,609940.0,343.24473975636766,4305.0,124732.0,578700.0,2.0,3.0,9.107339893531215,3.2,14.5,4.969855369913094,2.4144792876500194,Boylston
braintree,29,809900.0,878420.6896551724,384.14502164502164,5060.0,125305.0,623200.0,3.0,2.0,8.247614457831327,3.0,41.0,6.463429232672279,2.063652832674572,Braintree Town
brewster,33,799000.0,1013906.0303030303,549.7584541062802,4739.0,94798.0,621300.0,3.0,2.0,7.819130434782609,3.4,19.0,8.428447857549738,1.6669831891397622,Brewster
bridgewater,24,714900.0,733861.5,333.3307154134054,4514.0,112482.0,500600.0,3.0,3.0,8.335877694930929,3.4,18.5,6.355683576038833,2.076539654408507,Bridgewater Town
brimfield,14,447400.0,561957.0714285715,229.74351146055437,2870.0,101477.0,379700.0,2.5,2.0,8.46861838022895,2.8,5.75,4.408880830138849,2.9464866434378627,Brimfield
brockton,58,547500.0,602914.8793103448,320.22415897435894,3457.5,77089.0,405500.0,3.0,2.0,8.335804167904168,3.0,42.0,7.10218059645345,1.8580139792721138,Brockton
brookfield,4,474950.0,497475.0,204.83096943244297,3046.5,71875.0,313200.0,3.5,2.0,8.46747149321267,2.7,14.5,6.608,1.966053941681711,Brookfield
brookline,139,1900000.0,2483620.784172662,822.4085365853658,11691.0,140631.0,1233100.0,3.0,3.0,8.540706976744186,3.4,77.66666666666667,13.510534661632216,1.0024163886750492,Brookline
burlington,8,889900.0,1061761.75,417.173454390995,6065.5,142207.0,679400.0,4.0,3.5,8.225161370301596,3.2,32.5,6.257779152924962,1.95376858187014,Burlington
cambridge,152,1249500.0,1836610.8421052631,891.6917007320087,8238.5,126469.0,1040500.0,2.0,2.0,8.582218096357227,3.4,89.66666666666667,9.879891514916698,1.2792478404240255,Cambridge
canton,29,752900.0,906289.2068965518,445.34412955465586,5143.0,128341.0,665500.0,2.0,3.0,9.03510597791598,3.0,30.5,5.8664027863270505,2.0795417719878153,Canton
carlisle,7,1275000.0,2036285.7142857143,397.94007490636704,7898.0,250001.0,1055600.0,4.0,3.0,8.212362030905078,3.0,20.5,5.0999796000816,2.6378091499957796,Carlisle
carver,18,499000.0,597263.8888888889,311.4703674494616,3151.0,78955.0,409800.0,3.0,2.0,8.336320915592067,3.8,15.0,6.320055727946299,2.088093726859198,Carver
charlemont,6,500000.0,673325.0,215.04828654089076,3265.5,59327.0,312800.0,4.0,2.5,8.620890225563912,2.4000000000000004,14.5,8.427865895797867,1.5139845863318533,Charlemont
charlton,16,492447.5,492587.1875,254.43571428571428,3159.0,119809.0,405200.0,3.0,2.0,8.467571580063627,2.8,10.5,4.1102713485631295,3.1605202068165035,Charlton
chatham,32,2225000.0,3309359.375,979.3063471929362,13156.5,86674.0,857900.0,4.0,4.0,7.804939490810076,3.4,18.5,25.67090476959642,0.548993526647158,Chatham
chelmsford,18,782000.0,737188.8888888889,349.1291711670741,4873.5,140519.0,565000.0,4.0,2.0,8.226278284785598,2.8,22.0,5.565083725332517,2.402773502958175,Chelmsford
chelsea,20,572000.0,744530.0,448.3007719506389,3682.0,72220.0,476500.0,3.0,2.0,8.509760427071214,3.4,62.5,7.920243699806148,1.6345283360492484,Chelsea
cheshire,9,499900.0,458511.0,172.05926821892953,3237.0,72028.0,237000.0,3.0,3.0,8.54555712270804,2.4,11.0,6.940356528016882,1.8542889506744928,Cheshire
chester,4,414700.0,415475.0,238.85202577637622,2732.5,87308.0,275600.0,3.0,1.5,8.69782916984837,2.3,10.75,4.749851101846337,2.6626410491003356,Chester
chicopee,41,314900.0,343582.8780487805,216.2516382699869,2114.0,66927.0,251800.0,3.0,2.0,8.7000508560773,2.8,37.0,4.705126481091338,2.638245033112583,Chicopee
chilmark,1,6595000.0,6595000.0,2160.878112712975,38242.0,166250.0,1788900.0,4.0,4.0,7.654198635329795,3.4,12.0,39.669172932330824,0.3622762059167059,Chilmark
clarksburg,5,279000.0,320780.0,208.33333333333334,1806.0,78421.0,212500.0,3.0,2.0,8.546637362637362,2.2,9.5,3.557720508537254,3.6185400516795863,Clarksburg
clinton,6,464900.0,474766.6666666667,364.83111548352576,3217.5,93849.0,348000.0,3.0,1.5,8.469292745871755,2.9,15.5,4.953702223785016,2.4306915306915307,Clinton
cohasset,25,1799999.0,2168701.88,624.9995833333334,11228.0,187060.0,1092500.0,4.0,4.0,8.233871241039578,3.4,19.0,9.622575644178339,1.3883446146538416,Cohasset
colrain,3,450000.0,483333.3333333333,199.2287917737789,2939.0,86429.0,267200.0,3.0,1.0,8.621729032258067,3.0,7.0,5.206585752467343,2.4506351366678008,Colrain
concord,14,1515000.0,1805778.5714285714,484.3582466874551,9776.0,212315.0,1134500.0,4.0,3.5,8.225472079068126,3.0,21.5,7.135623954972564,1.8098319012547737,Concord
conway,2,792500.0,792500.0,260.51284109865213,5176.0,92471.0,376700.0,4.0,2.5,8.621290276110445,2.3,4.25,8.570254458154448,1.4887783359093252,Conway
dalton,10,392500.0,455040.0,165.4364719921785,2910.0,81168.0,289300.0,4.0,2.5,8.546257668711657,2.2,29.0,4.8356495170510545,2.3243986254295534,Dalton
danvers,30,697000.0,836806.3333333334,381.8267930261427,4399.5,117072.0,611200.0,3.0,2.0,8.214985289163392,3.4,38.5,5.953601202678693,2.2175247187180362,Danvers
