town,townKey,medianHouseholdIncome
Revere,revere,81121
Richmond,richmond,96923
Rochester,rochester,119239
Rockland,rockland,101475
Rockport,rockport,93227
Rowe,rowe,87917
Rowley,rowley,117177
Royalston,royalston,101705
Russell,russell,105833
Rutland,rutland,155504
Salem,salem,85137
Salisbury,salisbury,102521
Sandisfield,sandisfield,88250
Sandwich,sandwich,118799
Saugus,saugus,100819
Savoy,savoy,55000
Scituate,scituate,131861
Seekonk,seekonk,116310
Sharon,sharon,183724
Sheffield,sheffield,83889
Shelburne,shelburne,79676
Sherborn,sherborn,247500
Shirley,shirley,121875
Shrewsbury,shrewsbury,136225
Shutesbury,shutesbury,108021
Somerset,somerset,111720
Somerville,somerville,127056
South Hadley,south hadley,93646
Southampton,southampton,125534
Southborough,southborough,192006
Southbridge Town,southbridge,59397
Southwick,southwick,108833
Spencer,spencer,79086
Springfield,springfield,51339
Sterling,sterling,136027
Stockbridge,stockbridge,131667
Stoneham,stoneham,112635
Stoughton,stoughton,104164
Stow,stow,177862
Sturbridge,sturbridge,129606
Sudbury,sudbury,234634
Sunderland,sunderland,61442
Sutton,sutton,156215
Swampscott,swampscott,128964
Swansea,swansea,116627
Taunton,taunton,79715
Templeton,templeton,103277
Tewksbury,tewksbury,125966
Tisbury,tisbury,70724
Tolland,tolland,106458
Topsfield,topsfield,176698
Townsend,townsend,120238
Truro,truro,94637
Tyngsborough,tyngsborough,144375
Tyringham,tyringham,150000
Upton,upton,155952
Uxbridge,uxbridge,127083
Wakefield,wakefield,130320
Wales,wales,93971
Walpole,walpole,159720
Waltham,waltham,116560
Ware,ware,69666
Wareham,wareham,82741
Warren,warren,66587
Warwick,warwick,95000
Washington,washington,89345
Watertown Town,watertown,123422
Wayland,wayland,221250
Webster,webster,68934
Wellesley,wellesley,250001
Wellfleet,wellfleet,114074
Wendell,wendell,69213
Wenham,wenham,187652
West Boylston,west boylston,99674
West Bridgewater,west bridgewater,124483
West Brookfield,west brookfield,78988
West Newbury,west newbury,189048
West Springfield Town,west springfield,70401
West Stockbridge,west stockbridge,99961
West Tisbury,west tisbury,194526
Westborough,westborough,134474
Westfield,westfield,82847
Westford,westford,181523
Westhampton,westhampton,95192
Westminster,westminster,101161
Weston,weston,250001
Westport,westport,100703
Westwood,westwood,205000
Weymouth Town,weymouth,100077
Whately,whately,102734
Whitman,whitman,107794
Wilbraham,wilbraham,124004
Williamsburg,williamsburg,108500
Williamstown,williamstown,97813
Wilmington,wilmington,161473
Winchendon,winchendon,85160
Winchester,winchester,218176
Windsor,windsor,104766
Winthrop Town,winthrop,106357
Woburn,woburn,107754
Worcester,worcester,67544
Worthington,worthington,91250
Wrentham,wrentham,147930
Yarmouth,yarmouth,81985
